City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,richards bay,-28.783,32.0377,20.07,77,100,8.0,ZA,1696730019
323,bereznik,62.8551,42.7072,1.72,85,100,4.93,RU,1696729741
324,santa cruz,-17.8,-63.1667,24.7,69,75,4.63,BO,1696729852
325,karratha,-20.7377,116.8463,34.03,23,0,4.46,AU,1696729700
326,vallenar,-28.5708,-70.7581,15.88,55,0,0.55,CL,1696730019
327,khandyga,62.6667,135.6,1.49,99,100,2.28,RU,1696729719
328,tofol,5.3248,163.0078,28.88,89,75,4.63,FM,1696730020
329,blagoveshchensk,50.2667,127.5333,14.34,38,0,4.0,RU,1696730020
330,floresta,-8.6011,-38.5686,25.57,67,99,8.07,BR,1696730020
331,fort bragg,35.139,-79.006,17.08,48,0,2.68,US,1696729686
332,mogocha,53.7333,119.7667,7.08,60,100,1.34,RU,1696730021
333,villa emilio carranza,19.9667,-96.6,24.59,80,94,8.23,MX,1696729743
334,northam,51.0333,-4.2167,14.25,85,100,2.82,GB,1696729689
335,donaldsonville,30.101,-90.9929,19.46,37,0,2.57,US,1696730021
336,kibondo,-3.5864,30.7203,17.95,59,94,1.29,TZ,1696730021
337,butajira,8.1167,38.3667,14.35,48,30,3.28,ET,1696730022
338,kralendijk,12.15,-68.2667,28.99,84,0,5.14,BQ,1696730015
339,san antonio de pale,-1.4014,5.6325,25.27,82,76,3.78,GQ,1696729701
340,vokhtoga,58.8147,41.0461,2.27,97,100,3.62,RU,1696730022
341,houghton,47.1219,-88.569,4.34,88,0,1.54,US,1696730022
342,carutapera,-1.195,-46.02,26.09,85,10,3.34,BR,1696729763
343,mundri,-6.9558,111.71,32.13,45,100,3.49,ID,1696729663
344,palmas,-10.2128,-48.3603,24.93,94,20,1.03,BR,1696729667
345,castillos,-34.1667,-53.8333,9.78,73,0,2.26,UY,1696729744
346,scottburgh,-30.2867,30.7532,18.74,76,100,7.77,ZA,1696730023
347,roma,43.2128,-75.4557,10.53,95,100,0.0,US,1696729762
348,zhelezinka,53.54,75.3072,9.89,77,11,3.5,KZ,1696730024
349,noumea,-22.2763,166.4572,19.99,76,91,7.44,NC,1696729635
350,mpanda,-6.3655,31.0409,22.44,52,91,1.3,TZ,1696730024
351,saint-francois,46.4154,3.9054,7.69,100,1,0.0,FR,1696729440
352,micheweni,-4.9667,39.8333,24.05,84,100,3.57,TZ,1696730025
353,bjerringbro,56.378,9.6607,7.09,73,22,1.64,DK,1696730025
354,vail,32.0479,-110.712,30.62,20,6,4.69,US,1696730025
355,kisangani,0.5167,25.2,22.2,100,100,1.2,CD,1696730025
356,fort stockton,30.894,-102.8793,21.03,57,0,5.14,US,1696730025
357,touros,-5.1989,-35.4608,25.5,83,100,5.58,BR,1696729666
358,cabedelo,-6.9811,-34.8339,24.37,87,11,5.46,BR,1696729957
359,dubovskoye,47.4092,42.7575,15.24,69,100,11.76,RU,1696730026
360,tionk essil,12.7856,-16.5217,23.17,89,100,3.45,SN,1696730026
361,miracema do tocantins,-9.5618,-48.3967,25.6,71,2,1.5,BR,1696730027
362,sakassou,7.4546,-5.2926,23.91,98,100,1.46,CI,1696730027
